Airwallex AUD Transactions,,,,,,,,,,
For the period 1 January 2025 to 31 May 2025,,,,,,,,,,
,,,,,,,,,,
Date,Source,Description,Reference,Currency,Spend (Source),Receive (Source),Spend (AUD),Receive (AUD),,
16-Jan-25,Spend Money,Unknown,Cullan Chapman; Cullan Chapman; ************5520,AUD,0,9.94,0,9.94,,
17-Jan-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,NPP,AUD,"7,000.00",0,"7,000.00",0,,
17-Jan-25,Spend Money,Post,,AUD,0,31.5,0,31.5,,
17-Jan-25,Spend Money,STARSHIPIT,ants Label Pty Ltd; Subscriptions; ************7022,AUD,0,240,0,240,,
17-Jan-25,Payable Payment,Payment: Noemie neuens,150,AUD,0,500.38,0,500.38,,
17-Jan-25,Payable Payment,Payment: David Bodas Ventas,N 01,AUD,0,500.38,0,500.38,,
17-Jan-25,Payable Payment,Payment: Adios,INVOICE CORE RESTOCK DECEMBER,AUD,0,"7,189.16",0,"7,189.16",,
20-Jan-25,Payable Payment,Payment: Wesley Lewis,Wesley Wage,AUD,0,"1,730.76",0,"1,730.76",,
20-Jan-25,Spend Money,Life Insurance,ants Label Pty Ltd; Insurance; ************3932,AUD,0,347.44,0,347.44,,
20-Jan-25,Spend Money,okendo,,AUD,0,686.17,0,686.17,,
20-Jan-25,Payable Payment,Payment: Cullan Chapman,Cullan Wage,AUD,0,"1,266.89",0,"1,266.89",,
20-Jan-25,Spend Money,Unknown,Alannah Keirle; Lani; ************1116,AUD,0,6.5,0,6.5,,
21-Jan-25,Spend Money,Quade,,AUD,0,42.67,0,42.67,,
21-Jan-25,Spend Money,KLAVIYO SOFTWARE K Card xx7386 USD,ants Label Pty Ltd; Subscriptions; ************7022,AUD,0,"2,559.41",0,"2,559.41",,
21-Jan-25,Spend Money,Coles,,AUD,0,35,0,35,,
21-Jan-25,Spend Money,LINKTREE,,AUD,0,7.39,0,7.39,,
21-Jan-25,Spend Money,Unknown,Alannah Keirle; Lani; ************1116,AUD,0,47.5,0,47.5,,
21-Jan-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,100,0,100,,
21-Jan-25,Spend Money,Unknown,Alannah Keirle; Lani; ************1116,AUD,0,55.88,0,55.88,,
22-Jan-25,Spend Money,Post,,AUD,0,51,0,51,,
23-Jan-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,NPP,AUD,"27,000.00",0,"27,000.00",0,,
23-Jan-25,Spend Money,Telstra,,AUD,0,165,0,165,,
23-Jan-25,Spend Money,James Frizelle,,AUD,0,45,0,45,,
23-Jan-25,Spend Money,Suspense,,AUD,0,"36,732.55",0,"36,732.55",,
23-Jan-25,Payable Payment,Payment: Adios - Natry,ENGRAVING,AUD,0,"25,000.00",0,"25,000.00",,
24-Jan-25,Spend Money,Life Insurance,ants Label Pty Ltd; Insurance; ************3932,AUD,0,86.18,0,86.18,,
24-Jan-25,Spend Money,Xero,XERO AU INV-40889459,AUD,0,145,0,145,,
28-Jan-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,NPP,AUD,"3,000.00",0,"3,000.00",0,,
28-Jan-25,Payable Payment,Payment: Wesley Lewis,Wesley Wage,AUD,0,"1,730.76",0,"1,730.76",,
31-Jan-25,Spend Money,Train,,AUD,0,194.72,0,194.72,,
31-Jan-25,Spend Money,DElta,,AUD,0,541.14,0,541.14,,
31-Jan-25,Receive Money,Suspense,,AUD,"36,732.55",0,"36,732.55",0,,
1-Feb-25,Spend Money,Hi Vibe,,AUD,0,96,0,96,,
1-Feb-25,Spend Money,Monday,ants Label Pty Ltd; Subscriptions; ************7022,AUD,0,645.59,0,645.59,,
1-Feb-25,Payable Payment,Payment: Zonos,Jan Duties,AUD,0,"2,484.86",0,"2,484.86",,
2-Feb-25,Spend Money,Canva,,AUD,0,36.5,0,36.5,,
2-Feb-25,Spend Money,Google G Suite,ANTS LABEL PTY LTD; Google Subscription; ************2155,AUD,0,443.52,0,443.52,,
2-Feb-25,Bank Transfer,Bank Transfer from Airwallex AUD to AUD WISE,Funds Transfer,AUD,0,"33,000.00",0,"33,000.00",,
3-Feb-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,NPP,AUD,"3,500.00",0,"3,500.00",0,,
3-Feb-25,Payable Payment,Payment: Wesley Lewis,Wesley Wage,AUD,0,"1,730.76",0,"1,730.76",,
3-Feb-25,Spend Money,Coles,,AUD,0,18,0,18,,
3-Feb-25,Payable Payment,Payment: Cullan Chapman,Cullan Wage,AUD,0,"1,292.92",0,"1,292.92",,
4-Feb-25,Spend Money,Quade,,AUD,0,36.58,0,36.58,,
4-Feb-25,Spend Money,Post,,AUD,0,181,0,181,,
5-Feb-25,Spend Money,United,,AUD,0,160.01,0,160.01,,
6-Feb-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,Transfer; ants Label Pty Ltd,AUD,"4,000.00",0,"4,000.00",0,,
6-Feb-25,Spend Money,Unknown,,AUD,0,18.01,0,18.01,,
6-Feb-25,Spend Money,NGATERI CRISBIANTORO,Duties and Taxes Croma,AUD,0,"3,266.54",0,"3,266.54",,
7-Feb-25,Spend Money,Post,,AUD,0,25.5,0,25.5,,
10-Feb-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,NPP,AUD,"5,000.00",0,"5,000.00",0,,
10-Feb-25,Spend Money,Wesley,,AUD,0,571.95,0,571.95,,
10-Feb-25,Payable Payment,Payment: Cullan Chapman,Cullan Wage,AUD,0,"1,275.63",0,"1,275.63",,
10-Feb-25,Spend Money,Adobe,Cullan Chapman; Cullan Chapman; ************5520,AUD,0,113.43,0,113.43,,
10-Feb-25,Payable Payment,Payment: Wesley Lewis,Wesley Wage,AUD,0,"1,730.76",0,"1,730.76",,
10-Feb-25,Spend Money,Malindo,,AUD,0,453.15,0,453.15,,
11-Feb-25,Spend Money,Quade,,AUD,0,39.12,0,39.12,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,13.73,0,13.73,,
12-Feb-25,Spend Money,HardDrive,,AUD,0,222.2,0,222.2,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,13.73,0,13.73,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
12-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
13-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
13-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
13-Feb-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,NPP,AUD,"5,000.00",0,"5,000.00",0,,
13-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
13-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,6.57,0,6.57,,
13-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,8.67,0,8.67,,
13-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
13-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
13-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
13-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,6.57,0,6.57,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,8.76,0,8.76,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Mialsuite,,AUD,0,16.73,0,16.73,,
14-Feb-25,Payable Payment,Payment: James Alexander Leung,2018,AUD,0,"1,036.61",0,"1,036.61",,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,13.73,0,13.73,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,13.73,0,13.73,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,8.67,0,8.67,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,6.57,0,6.57,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,10.4,0,10.4,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,8.76,0,8.76,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,8.67,0,8.67,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,13.73,0,13.73,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,13.73,0,13.73,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
14-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
15-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,95.73,0,95.73,,
15-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,8.67,0,8.67,,
15-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
15-Feb-25,Spend Money,Facebook,ants Label Pty Ltd; Facebook; ************2794,AUD,0,"3,267.00",0,"3,267.00",,
15-Feb-25,Spend Money,Shopify,,AUD,0,"1,889.14",0,"1,889.14",,
16-Feb-25,Spend Money,Unknown,"Invoice number: AWXAU2501050960, fees",AUD,0,15,0,15,,
17-Feb-25,Payable Payment,Payment: Cullan Chapman,Cullan Wage,AUD,0,"1,276.08",0,"1,276.08",,
17-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,8.67,0,8.67,,
17-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
17-Feb-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,NPP,AUD,"5,000.00",0,"5,000.00",0,,
17-Feb-25,Payable Payment,Payment: Wesley Lewis,Wesley Wage,AUD,0,"1,730.76",0,"1,730.76",,
17-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
17-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
17-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
17-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,8.76,0,8.76,,
17-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
17-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
17-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,13.73,0,13.73,,
17-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
17-Feb-25,Spend Money,Unknown,Alannah Keirle; Staff Office Supplies; ************0151,AUD,0,11.56,0,11.56,,
17-Feb-25,Spend Money,Officeworks,,AUD,0,91.69,0,91.69,,
17-Feb-25,Spend Money,STARSHIPIT,ants Label Pty Ltd; Subscriptions; ************7022,AUD,0,240,0,240,,
18-Feb-25,Spend Money,Quade,,AUD,0,38.61,0,38.61,,
20-Feb-25,Spend Money,Unknown,ants Label Pty Ltd; Freight; ************5611,AUD,0,8.67,0,8.67,,
20-Feb-25,Spend Money,Unknown,ants Label Pty Ltd; Freight; ************5611,AUD,0,10.4,0,10.4,,
20-Feb-25,Spend Money,Unknown,ants Label Pty Ltd; Freight; ************5611,AUD,0,11.56,0,11.56,,
20-Feb-25,Spend Money,Unknown,ants Label Pty Ltd; Freight; ************5611,AUD,0,11.56,0,11.56,,
20-Feb-25,Spend Money,Unknown,ants Label Pty Ltd; Freight; ************5611,AUD,0,11.56,0,11.56,,
20-Feb-25,Spend Money,Unknown,ants Label Pty Ltd; Freight; ************5611,AUD,0,13.73,0,13.73,,
20-Feb-25,Spend Money,Unknown,ants Label Pty Ltd; Freight; ************5611,AUD,0,11.56,0,11.56,,
20-Feb-25,Spend Money,Unknown,ants Label Pty Ltd; Freight; ************5611,AUD,0,11.56,0,11.56,,
20-Feb-25,Spend Money,Unknown,ants Label Pty Ltd; Freight; ************5611,AUD,0,11.56,0,11.56,,
20-Feb-25,Spend Money,Unknown,ants Label Pty Ltd; Freight; ************5611,AUD,0,8.67,0,8.67,,
20-Feb-25,Spend Money,Unknown,ants Label Pty Ltd; Freight; ************5611,AUD,0,11.56,0,11.56,,
20-Feb-25,Spend Money,Cullan,,AUD,0,5.81,0,5.81,,
20-Feb-25,Spend Money,Cullan,,AUD,0,19.39,0,19.39,,
20-Feb-25,Bank Transfer,Bank Transfer from Airwallex USD to Airwallex AUD,,AUD,"1,723.53",0,"1,723.53",0,,
21-Feb-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,NPP,AUD,"2,000.00",0,"2,000.00",0,,
21-Feb-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,NPP,AUD,"4,000.00",0,"4,000.00",0,,
21-Feb-25,Spend Money,KLAVIYO SOFTWARE K Card xx7386 USD,ants Label Pty Ltd; Subscriptions; ************7022,AUD,0,"1,949.43",0,"1,949.43",,
21-Feb-25,Spend Money,Cullan,,AUD,0,20.02,0,20.02,,
21-Feb-25,Spend Money,Unknown,,AUD,0,8.67,0,8.67,,
21-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
21-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
21-Feb-25,Spend Money,Unknown,,AUD,0,10.4,0,10.4,,
21-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
21-Feb-25,Spend Money,Unknown,,AUD,0,8.67,0,8.67,,
21-Feb-25,Spend Money,Unknown,,AUD,0,10.4,0,10.4,,
21-Feb-25,Spend Money,Unknown,,AUD,0,6.57,0,6.57,,
21-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
21-Feb-25,Spend Money,Unknown,,AUD,0,6.57,0,6.57,,
21-Feb-25,Spend Money,Unknown,,AUD,0,6.57,0,6.57,,
21-Feb-25,Spend Money,Unknown,,AUD,0,31.89,0,31.89,,
21-Feb-25,Spend Money,Unknown,,AUD,0,13.73,0,13.73,,
21-Feb-25,Spend Money,Unknown,,AUD,0,8.67,0,8.67,,
21-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
21-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
21-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
21-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
21-Feb-25,Spend Money,Unknown,,AUD,0,6.57,0,6.57,,
21-Feb-25,Spend Money,LINKTREE,,AUD,0,7.27,0,7.27,,
21-Feb-25,Spend Money,Cathay,,AUD,0,"1,318.15",0,"1,318.15",,
21-Feb-25,Spend Money,Millers,,AUD,0,10.43,0,10.43,,
21-Feb-25,Spend Money,Selfridges,,AUD,0,39.99,0,39.99,,
21-Feb-25,Spend Money,Selfridges,,AUD,0,63.98,0,63.98,,
22-Feb-25,Spend Money,Cullan,,AUD,0,20.12,0,20.12,,
22-Feb-25,Spend Money,Hi Vibe,,AUD,0,96,0,96,,
22-Feb-25,Spend Money,Netflix,,AUD,0,25.99,0,25.99,,
22-Feb-25,Spend Money,Zettle,,AUD,0,8.25,0,8.25,,
22-Feb-25,Spend Money,Zettle,,AUD,0,42.09,0,42.09,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,8.76,0,8.76,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Telstra,,AUD,0,165,0,165,,
24-Feb-25,Spend Money,Unknown,,AUD,0,6.57,0,6.57,,
24-Feb-25,Spend Money,Unknown,,AUD,0,10.4,0,10.4,,
24-Feb-25,Spend Money,Unknown,,AUD,0,8.76,0,8.76,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,6.57,0,6.57,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,8.76,0,8.76,,
24-Feb-25,Spend Money,Unknown,,AUD,0,10.4,0,10.4,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,6.57,0,6.57,,
24-Feb-25,Spend Money,Unknown,,AUD,0,8.76,0,8.76,,
24-Feb-25,Spend Money,Unknown,,AUD,0,13.73,0,13.73,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,13.73,0,13.73,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,8.76,0,8.76,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,6.57,0,6.57,,
24-Feb-25,Spend Money,Unknown,,AUD,0,11.56,0,11.56,,
24-Feb-25,Spend Money,Unknown,,AUD,0,6.57,0,6.57,,
